X1_TUOI_HOC_VIEN,X2_GIOI_TINH,X14_DOI_TUONG_HOC,X15_NGANH_HOC,KHAC_NGANH_YN,MA_KHOI_NGANH_DA_TOT_NGHIEP,Y4_DIEM_TRUNG_BINH_TICH_LUY,Y3_TRANG_THAI_HOC_VIEN
30,0,VAN_BANG_HAI,KE_TOAN,Y,KHOA_HOC_XA_HOI_NHAN_VAN,9.5,1
27,0,TRUNG_CAP_CUNG_NGANH,KE_TOAN,N,KINH_TE,9.57,1
22,0,CAO_DANG,KE_TOAN,Y,KHOA_HOC_TU_NHIEN,8,1
25,1,TRUNG_HOC_PHO_THONG,QUAN_TRI_KINH_DOANH,N,KHOI_NGANH_THPT,3.67,1
27,0,VAN_BANG_HAI,KE_TOAN,Y,KHOA_HOC_TU_NHIEN,9.4,1
31,0,TRUNG_HOC_PHO_THONG,QUAN_TRI_KINH_DOANH,N,KHOI_NGANH_THPT,5.17,1
22,0,CAO_DANG,KE_TOAN,Y,KHOA_HOC_XA_HOI_NHAN_VAN,8.25,1
20,1,DIPLOMA,TIN_HOC_UNG_DUNG,N,KHOA_HOC_TU_NHIEN,7.6,1
24,1,VAN_BANG_HAI,TAI_CHINH_NGAN_HANG,Y,KHOA_HOC_TU_NHIEN,7.4,1
23,0,VAN_BANG_HAI,TAI_CHINH_NGAN_HANG,Y,NGOAI_NGU,7.63,1
